reported_date_time,reported_date_time_utc,posted_date,city,state,country_code,shape,reported_duration,duration_seconds,Summary,has_images,day_part
1987-10-02T03:00:00Z,02/10/1987 03:00,31/10/2008,Roseburg,OR,US,oval,30 mins.,1800,Two small glowing oval orange objects and one larger triangle craft in rural Oregon.,FALSE,astronomical dusk
1977-06-16T04:30:00Z,16/06/1977 04:30,02/05/2003,Newport,OR,US,light,20+10 min,600,Zig-Zagging light similar to star moving around other stars changing intensity as if looping in/out light range,FALSE,nautical dusk
1985-09-27T02:25:00Z,27/09/1985 02:25,21/01/2008,Austin,TX,US,chevron,20 min.,1200,"Chevron flew 5 mph, 150 yards from me, 200 feet off the ground.",FALSE,night
1994-06-16T19:00:00Z,16/06/1994 19:00,25/04/2002,Canton,OH,US,circle,08-seconds,8,Spotted a large reflective metal sphere observing heavy equipment. What was it !!!!!!!!!!!!!!!!!,FALSE,afternoon
1994-05-05T06:00:00Z,05/05/1994 06:00,17/01/2004,Phoenix,NY,US,unknown,5 minutes,300,"It  had my head in a vice-like grip and was ""reading"" me.",FALSE,night
1975-01-02T00:00:00Z,02/01/1975 00:00,26/11/2003,Waverly Hall,GA,US,sphere,5 - 10 min,600,Hovering Sphere,FALSE,night
1989-06-16T01:00:00Z,16/06/1989 01:00,09/04/2020,Wappingers Falls,NY,US,sphere,5 minutes,300,Extremely bright light making unremarkable maneuvers over a tree line.,FALSE,nautical dusk
1987-04-14T21:00:00Z,14/04/1987 21:00,30/10/2006,Perth,Western Australia,AU,sphere,5 seconds,5,On a warm fresh morning in the summer of 87 i saw it suspended off the ground approx 1000yrds from me next to a main digital communicat,FALSE,astronomical dawn
1976-08-18T22:00:00Z,18/08/1976 22:00,17/01/2004,Sycamore,IL,US,triangle,15 minutes,900,I looked up and saw hovering directly over my head at about two story roof height three lights in a triangular pattern.,FALSE,NA
1976-12-16T04:15:00Z,16/12/1976 04:15,28/01/1999,Junction City,KS,US,diamond,2-3 minutes,180,saw large diamond shaped craft fly almost directly over head at night (bright moon w/thin clouds) . Craft made humming sound that wasn',FALSE,night
1980-06-02T02:00:00Z,02/06/1980 02:00,27/10/2004,Birmingham,AL,US,triangle,3 minutes,180,three lights that formed a triangle in the night sky,FALSE,astronomical dusk
1983-07-01T22:00:00Z,01/07/1983 22:00,30/09/2013,Warwick,RI,US,disk,15 minutes,900,"Large matalic disk shaped object hovoring over field, 30' from street, 20-25 feet off ground.",FALSE,afternoon
1977-06-01T17:30:00Z,01/06/1977 17:30,07/02/2020,Safi,Marrakesh-Safi,MA,light,40 seconds,40,"These creatures are red, brown, and their height is not more than one meter and 40 centimeters long and float in the air at 15 centimet",FALSE,NA
1980-06-02T01:00:00Z,02/06/1980 01:00,23/12/2002,Ladue,MO,US,triangle,2 minutes,120,black triangle  with rounded corners 1980 St.Louis,FALSE,afternoon
1994-10-25T06:30:00Z,25/10/1994 06:30,31/10/2008,San Antonio,TX,US,other,10-20 seconds,20,"amorphous, floating ink-spot in the night sky",FALSE,night
1991-09-15T21:30:00Z,15/09/1991 21:30,09/10/2015,Portland,OR,US,cigar,1 minutes,60,It was a long cigar shaped object; no way its some thing we built.,FALSE,afternoon
1993-08-02T01:00:00Z,02/08/1993 01:00,09/09/2022,Aurora,IL,US,rectangle,10 minutes,600,"2 craft came head to head, stopped, then turned 90 degrees and went opposite directions",FALSE,afternoon
